artist_key,artist_name,platform,canonical_url,evidence_sources,evidence_url,confidence,status,discovery_date,verification_date
"t3r elemento","T3R Elemento","twitter","https://twitter.com/t3r_elemento","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCucxqba8ReybE6oIs9D1_sg/about","95","verified","2026-08-16","2026-08-16"
"thalia","Thalía","facebook","https://www.facebook.com/Thalia","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q171235","95","verified","2026-08-16","2026-08-16"
"thalia","Thalía","facebook","http://www.facebook.com/thalia","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCgyFSSvdNv3MC_atQPqM_XA/about","95","verified","2026-08-16","2026-08-16"
"thalia","Thalía","instagram","https://www.instagram.com/thalia","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q171235","95","verified","2026-08-16","2026-08-16"
"thalia","Thalía","instagram","http://www.instagram.com/thalia","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCgyFSSvdNv3MC_atQPqM_XA/about","95","verified","2026-08-16","2026-08-16"
"thalia","Thalía","tiktok","https://www.tiktok.com/@thalia","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q171235","95","verified","2026-08-16","2026-08-16"
"thalia","Thalía","tiktok","https://vm.tiktok.com/ZMRN4eN5q","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCgyFSSvdNv3MC_atQPqM_XA/about","95","verified","2026-08-16","2026-08-16"
"thalia","Thalía","twitter","https://x.com/thalia","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q171235","95","verified","2026-08-16","2026-08-16"
"thalia","Thalía","twitter","http://www.twitter.com/thalia","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCgyFSSvdNv3MC_atQPqM_XA/about","95","verified","2026-08-16","2026-08-16"
"timbiriche","Timbiriche","facebook","https://www.facebook.com/Timbiriche35Oficial","verified_musicbrainz_mapping+live_musicbrainz_url_relationship","","90","verified","2026-08-16","2026-08-16"
"timbiriche","Timbiriche","instagram","https://www.instagram.com/timbiriche_35","verified_musicbrainz_mapping+live_musicbrainz_url_relationship","","90","verified","2026-08-16","2026-08-16"
"timbiriche","Timbiriche","twitter","https://twitter.com/timbiriche_35","verified_musicbrainz_mapping+live_musicbrainz_url_relationship","","90","verified","2026-08-16","2026-08-16"
"tito double p","Tito Double P","facebook","https://www.facebook.com/p/Tito-Double-P-61550585180625","live_musicbrainz_relationship_manual_review","https://musicbrainz.org/artist/37316157-4e01-4ea8-b897-65a1a5a6bb30","90","verified","2026-08-16",""
